player_name,role,season,Assist,Bonus Point,Raid Successful,Raid Unsuccessful,Super Raid,Super Tackle,Tackle Successful,Tackle Unsuccessful,raid_success_rate,tackle_success_rate,Team,contribution_ratio,do_or_die_points,team_name,player_id,match_played,position_id,position_name,high_5s,avg_raid_points,raid_points,successful_raids,successful_tackles,super_10s,super_raids,super_tackles,tackle_points,total_points,z_score_do_or_die_points,z_score_high_5s,z_score_avg_raid_points,z_score_raid_points,z_score_successful_raids,z_score_successful_tackles,z_score_super_10s,z_score_super_raids,z_score_super_tackles,z_score_tackle_points,z_score_total_points,dim1,dim2
abolfazl maghsodloumahali,All-Rounder,6,6,8,4,0,0,0,13,0,0.8,0.9285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.9134526,6.251204
abolfazl maghsodloumahali,All-Rounder,7,5,10,5,0,0,0,8,0,0.8333333333333334,0.8888888888888888,Gujarat Fortunegiants,0.01240694789081886,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.597234,6.7073474
abozar mohajermighani,All-Rounder,1,8,7,4,0,0,0,8,0,0.8,0.8888888888888888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.525452,4.8807416
abozar mohajermighani,All-Rounder,2,8,1,11,0,0,0,4,0,0.9166666666666666,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.4436584,2.5821457
abozar mohajermighani,All-Rounder,3,5,6,8,0,0,0,9,0,0.8888888888888888,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.2239113,5.3829994
abozar mohajermighani,All-Rounder,4,2,4,7,0,0,0,7,0,0.875,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.678857,4.332021
abozar mohajermighani,All-Rounder,5,7,3,8,0,0,0,7,0,0.8888888888888888,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.2233872,2.727294
abozar mohajermighani,All-Rounder,6,6,4,10,0,0,0,4,0,0.9090909090909091,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6068923,3.9972847
abozar mohajermighani,All-Rounder,7,2,3,4,0,0,0,10,0,0.8,0.9090909090909091,Telugu Titans,0.06930693069306931,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8843584,6.8901153
adarsh t,Defender,1,0,0,0,0,0,5,17,2,0.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.033453,13.9877825
adarsh t,Defender,2,0,0,0,0,0,0,5,11,0.0,0.29411764705882354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.532304,12.436345
adarsh t,Defender,3,0,0,0,0,0,9,13,7,0.0,0.6190476190476191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.034418,14.556142
adarsh t,Defender,4,0,0,0,0,0,6,13,6,0.0,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.138755,12.66553
adarsh t,Defender,5,0,0,0,0,0,1,19,13,0.0,0.5757575757575758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.068723,11.445892
adarsh t,Defender,6,0,0,0,0,0,12,11,6,0.0,0.6111111111111112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.207276,14.887028
adarsh t,Defender,7,0,0,0,0,0,10,9,3,0.0,0.6923076923076923,Bengal Warriors,0.005474452554744526,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.956898,15.268938
adinath sakharam gavali,Raider,1,0,2,13,7,3,0,0,0,0.6190476190476191,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.530621,-5.7514305
adinath sakharam gavali,Raider,2,0,6,10,9,2,0,0,0,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.961479,-3.441603
adinath sakharam gavali,Raider,3,0,1,10,9,2,0,0,0,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.593376,-3.5150402
adinath sakharam gavali,Raider,4,0,4,10,10,2,0,0,0,0.47619047619047616,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.50635,-3.7495577
adinath sakharam gavali,Raider,5,0,4,10,8,2,0,0,0,0.5263157894736842,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.419734,-3.2200418
adinath sakharam gavali,Raider,6,0,2,15,4,1,0,0,0,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.609998,-1.6448939
adinath sakharam gavali,Raider,7,0,3,10,7,4,0,0,0,0.5555555555555556,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.567875,-7.146605
ajay,All-Rounder,1,4,11,7,0,0,0,7,0,0.875,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.380876,6.92955
ajay,All-Rounder,2,4,8,13,0,0,0,3,0,0.9285714285714286,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3610697,6.7710967
ajay,All-Rounder,3,8,4,5,0,0,0,4,0,0.8333333333333334,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.50349,3.2840917
ajay,All-Rounder,4,3,2,4,0,0,0,10,0,0.8,0.9090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5683749,3.3284712
ajay,All-Rounder,5,4,6,8,0,0,0,16,0,0.8888888888888888,0.9411764705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0015483,5.4026237
ajay,All-Rounder,6,4,5,7,0,0,0,8,0,0.875,0.8888888888888888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5440884,5.0724893
ajay,All-Rounder,7,6,3,5,0,0,0,6,0,0.8333333333333334,0.8571428571428571,Bengaluru Bulls,0.003669724770642202,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6507459,3.0922008
ajay kumar,All-Rounder,1,4,5,8,0,0,0,6,0,0.8888888888888888,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7762177,4.714925
ajay kumar,All-Rounder,2,7,1,3,0,0,0,10,0,0.75,0.9090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2469203,2.5946693
ajay kumar,All-Rounder,3,1,3,8,0,0,0,5,0,0.8888888888888888,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3360394,3.936355
ajay kumar,All-Rounder,4,9,4,7,0,0,0,7,0,0.875,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.160654,2.8400376
ajay kumar,All-Rounder,5,3,11,14,0,0,0,8,0,0.9333333333333333,0.8888888888888888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.202873,6.88603
ajay kumar,All-Rounder,6,7,9,8,0,0,0,13,0,0.8888888888888888,0.9285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.2487235,6.2727823
ajay kumar,All-Rounder,7,4,2,11,0,0,0,5,0,0.9166666666666666,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6122956,2.6525114
ajay singh,Defender,1,0,0,0,0,0,3,16,5,0.0,0.7272727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.524713,12.409839
ajay singh,Defender,2,0,0,0,0,0,4,7,5,0.0,0.5384615384615384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7427645,13.678661
ajay singh,Defender,3,0,0,0,0,0,6,11,7,0.0,0.5789473684210527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.235716,14.694927
ajay singh,Defender,4,0,0,0,0,0,3,14,9,0.0,0.5833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.296922,11.332442
ajay singh,Defender,5,0,0,0,0,0,6,11,10,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.815002,13.226431
ajay singh,Defender,6,0,0,0,0,0,4,12,6,0.0,0.631578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3906527,13.078
ajay singh,Defender,7,0,0,0,0,0,12,10,7,0.0,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.23544,14.848482
ajay thakur,Defender,1,0,0,0,0,0,4,13,7,0.0,0.6190476190476191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.654237,9.961399
ajay thakur,Defender,2,0,0,0,0,0,7,4,7,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.703365,14.070301
ajay thakur,Defender,3,0,0,0,0,0,5,16,6,0.0,0.6956521739130435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.455575,13.644764
ajay thakur,Defender,4,0,0,0,0,0,4,13,7,0.0,0.6190476190476191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.653927,9.958246
ajay thakur,Defender,5,0,0,0,0,0,5,11,10,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5882,12.712117
ajay thakur,Defender,6,0,0,0,0,0,7,12,6,0.0,0.631578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.922562,14.822273
ajay thakur,Defender,7,0,0,0,0,0,5,16,11,0.0,0.5714285714285714,Tamil Thalaivas,0.13394919168591224,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.636488,8.193616
ajeet,Raider,1,0,3,10,12,1,0,0,0,0.43478260869565216,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25994,-2.4857867
ajeet,Raider,2,0,3,15,4,2,0,0,0,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.656699,-2.2890134
ajeet,Raider,3,0,1,5,4,0,0,0,0,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.585579,-1.2415569
ajeet,Raider,4,0,5,9,7,1,0,0,0,0.5294117647058824,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.06195,-2.3194864
ajeet,Raider,5,0,2,15,12,3,0,0,0,0.5357142857142857,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.34793,-5.361951
ajeet,Raider,6,0,3,11,11,1,0,0,0,0.4782608695652174,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2124405,-2.453856
ajeet,Raider,7,0,2,10,10,3,0,0,0,0.47619047619047616,0.0,Tamil Thalaivas,0.03233256351039261,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7776985,-5.5743117
ajinkya ashok pawar,Defender,1,0,0,0,0,0,4,13,10,0.0,0.5416666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.214916,10.74794
ajinkya ashok pawar,Defender,2,0,0,0,0,0,4,11,9,0.0,0.5238095238095238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.710792,10.676982
ajinkya ashok pawar,Defender,3,0,0,0,0,0,8,7,5,0.0,0.5384615384615384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.162189,15.424565
ajinkya ashok pawar,Defender,4,0,0,0,0,0,5,9,7,0.0,0.5294117647058824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.743036,13.811241
ajinkya ashok pawar,Defender,5,0,0,0,0,0,9,11,8,0.0,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.905554,14.427075
ajinkya ashok pawar,Defender,6,0,0,0,0,0,3,15,7,0.0,0.6521739130434783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.781817,11.617276
ajinkya ashok pawar,Defender,7,0,0,0,0,0,5,8,11,0.0,0.4,Jaipur Pink Panthers,0.037527593818984545,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.888951,8.842769
ajinkya rohidas kapre,Raider,1,0,3,13,9,3,0,0,0,0.5652173913043478,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.802393,-5.4823637
ajinkya rohidas kapre,Raider,2,0,3,9,15,1,0,0,0,0.36,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.241017,-2.5687072
ajinkya rohidas kapre,Raider,3,0,3,11,6,1,0,0,0,0.6111111111111112,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.972522,-1.8015933
ajinkya rohidas kapre,Raider,4,0,2,11,14,3,0,0,0,0.4230769230769231,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.132077,-5.3979015
ajinkya rohidas kapre,Raider,5,0,6,19,9,1,0,0,0,0.6551724137931034,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.104783,-2.84402
ajinkya rohidas kapre,Raider,6,0,1,4,9,3,0,0,0,0.2857142857142857,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.683094,-5.9731474
ajinkya rohidas kapre,Raider,7,0,4,18,10,3,0,0,0,0.6206896551724138,0.0,U Mumba,0.002173913043478261,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.94339,-5.107891
ajit singh,Defender,1,0,0,0,0,0,7,16,5,0.0,0.7272727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.246261,13.650417
ajit singh,Defender,2,0,0,0,0,0,4,11,8,0.0,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.606791,10.570315
ajit singh,Defender,3,0,0,0,0,0,2,17,6,0.0,0.7083333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.817108,11.845879
ajit singh,Defender,4,0,0,0,0,0,7,13,14,0.0,0.4642857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.203618,12.861764
ajit singh,Defender,5,0,0,0,0,0,7,18,13,0.0,0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.583869,12.661613
ajit singh,Defender,6,0,0,0,0,0,6,18,7,0.0,0.6923076923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6446905,12.496444
ajit singh,Defender,7,0,0,0,0,0,6,10,7,0.0,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.185881,14.756266
ajvender singh,Defender,1,0,0,0,0,0,3,15,4,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.440671,12.545377
ajvender singh,Defender,2,0,0,0,0,0,8,10,4,0.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.445236,15.482101
ajvender singh,Defender,3,0,0,0,0,0,2,18,4,0.0,0.782608695652174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.494385,12.250948
ajvender singh,Defender,4,0,0,0,0,0,7,13,6,0.0,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.962606,14.76684
ajvender singh,Defender,5,0,0,0,0,0,2,16,5,0.0,0.7272727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.422109,12.191806
ajvender singh,Defender,6,0,0,0,0,0,7,9,10,0.0,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.936866,13.552695
ajvender singh,Defender,7,0,0,0,0,0,5,13,7,0.0,0.6190476190476191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.104836,11.52787
akshay jadhav,Defender,1,0,0,0,0,0,4,14,10,0.0,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.343159,10.701451
akshay jadhav,Defender,2,0,0,0,0,0,2,5,8,0.0,0.35714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.33835,12.521583
akshay jadhav,Defender,3,0,0,0,0,0,6,8,8,0.0,0.47058823529411764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.340371,13.740508
akshay jadhav,Defender,4,0,0,0,0,0,3,16,9,0.0,0.6153846153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.360161,11.307604
akshay jadhav,Defender,5,0,0,0,0,0,3,7,15,0.0,0.30434782608695654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.99645,12.537319
akshay jadhav,Defender,6,0,0,0,0,0,5,10,7,0.0,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.757986,13.79275
akshay jadhav,Defender,7,0,0,0,0,0,6,10,4,0.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.881833,14.689683
aman,Defender,1,0,0,0,0,0,4,8,8,0.0,0.47058823529411764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.481235,12.932428
aman,Defender,2,0,0,0,0,0,2,12,7,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.441374,12.012211
aman,Defender,3,0,0,0,0,0,7,7,3,0.0,0.6363636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.271374,15.513149
aman,Defender,4,0,0,0,0,0,3,9,8,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.141117,12.3400755
aman,Defender,5,0,0,0,0,0,8,14,9,0.0,0.5833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.075091,13.601744
aman,Defender,6,0,0,0,0,0,2,16,7,0.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.966128,11.66369
aman,Defender,7,0,0,0,0,0,3,15,11,0.0,0.5555555555555556,Bengaluru Bulls,0.001834862385321101,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.909234,11.427783
aman kadian,Defender,1,0,0,0,0,0,1,12,4,0.0,0.7058823529411765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.015005,12.424788
aman kadian,Defender,2,0,0,0,0,0,4,12,10,0.0,0.5217391304347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.168655,10.738767
aman kadian,Defender,3,0,0,0,0,0,8,10,5,0.0,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.35924,15.450792
aman kadian,Defender,4,0,0,0,0,0,1,11,5,0.0,0.6470588235294118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.015627,12.458327
aman kadian,Defender,5,0,0,0,0,0,9,13,9,0.0,0.5652173913043478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.939403,14.062918
aman kadian,Defender,6,0,0,0,0,0,6,7,4,0.0,0.5833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.193983,15.184227
aman kadian,Defender,7,0,0,0,0,0,8,8,5,0.0,0.5714285714285714,Dabang Delhi K.C.,0.004024144869215292,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.195657,15.465392
aman kumar,Raider,1,0,3,8,7,6,0,0,0,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.340496,-7.702305
aman kumar,Raider,2,0,2,15,6,2,0,0,0,0.6818181818181818,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2667675,-3.0574603
aman kumar,Raider,3,0,3,18,4,2,0,0,0,0.782608695652174,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.893355,-2.487417
aman kumar,Raider,4,0,3,13,6,2,0,0,0,0.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.360792,-1.980178
aman kumar,Raider,5,0,6,17,5,1,0,0,0,0.7391304347826086,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.651554,-2.3064284
aman kumar,Raider,6,0,3,15,7,5,0,0,0,0.6521739130434783,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.93848,-7.58767
aman kumar,Raider,7,0,4,14,5,4,0,0,0,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.77918,-6.8448753
amit,All-Rounder,1,3,2,4,0,0,0,2,0,0.8,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2705876,3.6624732
amit,All-Rounder,2,4,2,3,0,0,0,9,0,0.75,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2705905,3.2398875
amit,All-Rounder,3,4,3,2,0,0,0,12,0,0.6666666666666666,0.9230769230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3962295,4.6050878
amit,All-Rounder,4,7,4,11,0,0,0,10,0,0.9166666666666666,0.9090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.9134035,3.6051924
amit,All-Rounder,5,7,6,5,0,0,0,5,0,0.8333333333333334,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.9078245,4.6897197
amit,All-Rounder,6,6,7,10,0,0,0,8,0,0.9090909090909091,0.8888888888888888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.7056947,5.707195
amit,All-Rounder,7,6,3,12,0,0,0,3,0,0.9230769230769231,0.75,U.P. Yoddha,0.05012531328320802,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8301125,6.8359365
amit hooda,All-Rounder,1,5,4,6,0,0,0,8,0,0.8571428571428571,0.8888888888888888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.060182,3.6523423
amit hooda,All-Rounder,2,2,6,6,0,0,0,12,0,0.8571428571428571,0.9230769230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.205194,5.6720095
amit hooda,All-Rounder,3,3,5,9,0,0,0,9,0,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3346932,6.166121
amit hooda,All-Rounder,4,6,5,10,0,0,0,12,0,0.9090909090909091,0.9230769230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.2875133,3.8171933
amit hooda,All-Rounder,5,8,4,6,0,0,0,7,0,0.8571428571428571,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.412767,2.972503
amit hooda,All-Rounder,6,5,5,7,0,0,0,9,0,0.875,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5992265,4.8008227
amit hooda,All-Rounder,7,2,3,4,0,0,0,6,0,0.8,0.8571428571428571,Jaipur Pink Panthers,0.0640176600441501,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8911424,6.8959475
amit kharb,All-Rounder,1,10,7,5,0,0,0,5,0,0.8333333333333334,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.600429,4.8216815
amit kharb,All-Rounder,2,6,2,10,0,0,0,7,0,0.9090909090909091,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.385063,2.450415
amit kharb,All-Rounder,3,5,6,4,0,0,0,6,0,0.8,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5313406,5.4934
amit kharb,All-Rounder,4,6,5,7,0,0,0,5,0,0.875,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.917489,4.2590837
amit kharb,All-Rounder,5,6,4,7,0,0,0,5,0,0.875,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6329389,3.7059655
amit kharb,All-Rounder,6,4,8,11,0,0,0,3,0,0.9166666666666666,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.4103513,6.7816305
amit kharb,All-Rounder,7,6,4,4,0,0,0,9,0,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0124426,3.526668
amit kumar,All-Rounder,1,3,3,6,0,0,0,6,0,0.8571428571428571,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5262135,3.8072097
amit kumar,All-Rounder,2,6,4,7,0,0,0,8,0,0.875,0.8888888888888888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6763778,3.4765213
amit kumar,All-Rounder,3,3,6,8,0,0,0,7,0,0.8888888888888888,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8544407,6.234315
amit kumar,All-Rounder,4,7,5,7,0,0,0,7,0,0.875,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.581288,4.1522713
