player_name,role,season,Assist,Bonus Point,Raid Successful,Raid Unsuccessful,Super Raid,Super Tackle,Tackle Successful,Tackle Unsuccessful,raid_success_rate,tackle_success_rate
ajay kumar,All-Rounder,5,3,11,14,0,0,0,8,0,0.9333333333333333,0.8888888888888888
ajay kumar,All-Rounder,6,7,9,8,0,0,0,13,0,0.8888888888888888,0.9285714285714286
ajay kumar,All-Rounder,7,4,2,11,0,0,0,5,0,0.9166666666666666,0.8333333333333334
ajay singh,Defender,1,0,0,0,0,0,3,16,5,0.0,0.7272727272727273
ajay singh,Defender,2,0,0,0,0,0,4,7,5,0.0,0.5384615384615384
ajay singh,Defender,3,0,0,0,0,0,6,11,7,0.0,0.5789473684210527
ajay singh,Defender,4,0,0,0,0,0,3,14,9,0.0,0.5833333333333334
ajay singh,Defender,5,0,0,0,0,0,6,11,10,0.0,0.5
ajay singh,Defender,6,0,0,0,0,0,4,12,6,0.0,0.631578947368421
ajay singh,Defender,7,0,0,0,0,0,12,10,7,0.0,0.5555555555555556
ajay thakur,Defender,1,0,0,0,0,0,4,13,7,0.0,0.6190476190476191
ajay thakur,Defender,2,0,0,0,0,0,7,4,7,0.0,0.3333333333333333
ajay thakur,Defender,3,0,0,0,0,0,5,16,6,0.0,0.6956521739130435
ajay thakur,Defender,4,0,0,0,0,0,4,13,7,0.0,0.6190476190476191
ajay thakur,Defender,5,0,0,0,0,0,5,11,10,0.0,0.5
ajay thakur,Defender,6,0,0,0,0,0,7,12,6,0.0,0.631578947368421
ajay thakur,Defender,7,0,0,0,0,0,5,16,11,0.0,0.5714285714285714
ajeet,Raider,1,0,3,10,12,1,0,0,0,0.43478260869565216,0.0
ajeet,Raider,2,0,3,15,4,2,0,0,0,0.75,0.0
ajeet,Raider,3,0,1,5,4,0,0,0,0,0.5,0.0
ajeet,Raider,4,0,5,9,7,1,0,0,0,0.5294117647058824,0.0
ajeet,Raider,5,0,2,15,12,3,0,0,0,0.5357142857142857,0.0
ajeet,Raider,6,0,3,11,11,1,0,0,0,0.4782608695652174,0.0
ajeet,Raider,7,0,2,10,10,3,0,0,0,0.47619047619047616,0.0
ajinkya ashok pawar,Defender,1,0,0,0,0,0,4,13,10,0.0,0.5416666666666666
ajinkya ashok pawar,Defender,2,0,0,0,0,0,4,11,9,0.0,0.5238095238095238
ajinkya ashok pawar,Defender,3,0,0,0,0,0,8,7,5,0.0,0.5384615384615384
ajinkya ashok pawar,Defender,4,0,0,0,0,0,5,9,7,0.0,0.5294117647058824
ajinkya ashok pawar,Defender,5,0,0,0,0,0,9,11,8,0.0,0.55
ajinkya ashok pawar,Defender,6,0,0,0,0,0,3,15,7,0.0,0.6521739130434783
ajinkya ashok pawar,Defender,7,0,0,0,0,0,5,8,11,0.0,0.4
ajinkya rohidas kapre,Raider,1,0,3,13,9,3,0,0,0,0.5652173913043478,0.0
ajinkya rohidas kapre,Raider,2,0,3,9,15,1,0,0,0,0.36,0.0
ajinkya rohidas kapre,Raider,3,0,3,11,6,1,0,0,0,0.6111111111111112,0.0
ajinkya rohidas kapre,Raider,4,0,2,11,14,3,0,0,0,0.4230769230769231,0.0
ajinkya rohidas kapre,Raider,5,0,6,19,9,1,0,0,0,0.6551724137931034,0.0
ajinkya rohidas kapre,Raider,6,0,1,4,9,3,0,0,0,0.2857142857142857,0.0
ajinkya rohidas kapre,Raider,7,0,4,18,10,3,0,0,0,0.6206896551724138,0.0
ajit singh,Defender,1,0,0,0,0,0,7,16,5,0.0,0.7272727272727273
ajit singh,Defender,2,0,0,0,0,0,4,11,8,0.0,0.55
ajit singh,Defender,3,0,0,0,0,0,2,17,6,0.0,0.7083333333333334
ajit singh,Defender,4,0,0,0,0,0,7,13,14,0.0,0.4642857142857143
ajit singh,Defender,5,0,0,0,0,0,7,18,13,0.0,0.5625
ajit singh,Defender,6,0,0,0,0,0,6,18,7,0.0,0.6923076923076923
ajit singh,Defender,7,0,0,0,0,0,6,10,7,0.0,0.5555555555555556
ajvender singh,Defender,1,0,0,0,0,0,3,15,4,0.0,0.75
ajvender singh,Defender,2,0,0,0,0,0,8,10,4,0.0,0.6666666666666666
ajvender singh,Defender,3,0,0,0,0,0,2,18,4,0.0,0.782608695652174
ajvender singh,Defender,4,0,0,0,0,0,7,13,6,0.0,0.65
ajvender singh,Defender,5,0,0,0,0,0,2,16,5,0.0,0.7272727272727273
ajvender singh,Defender,6,0,0,0,0,0,7,9,10,0.0,0.45
ajvender singh,Defender,7,0,0,0,0,0,5,13,7,0.0,0.6190476190476191
akshay jadhav,Defender,1,0,0,0,0,0,4,14,10,0.0,0.56
akshay jadhav,Defender,2,0,0,0,0,0,2,5,8,0.0,0.35714285714285715
akshay jadhav,Defender,3,0,0,0,0,0,6,8,8,0.0,0.47058823529411764
akshay jadhav,Defender,4,0,0,0,0,0,3,16,9,0.0,0.6153846153846154
akshay jadhav,Defender,5,0,0,0,0,0,3,7,15,0.0,0.30434782608695654
akshay jadhav,Defender,6,0,0,0,0,0,5,10,7,0.0,0.5555555555555556
akshay jadhav,Defender,7,0,0,0,0,0,6,10,4,0.0,0.6666666666666666
aman,Defender,1,0,0,0,0,0,4,8,8,0.0,0.47058823529411764
aman,Defender,2,0,0,0,0,0,2,12,7,0.0,0.6
aman,Defender,3,0,0,0,0,0,7,7,3,0.0,0.6363636363636364
aman,Defender,4,0,0,0,0,0,3,9,8,0.0,0.5
aman,Defender,5,0,0,0,0,0,8,14,9,0.0,0.5833333333333334
aman,Defender,6,0,0,0,0,0,2,16,7,0.0,0.6666666666666666
aman,Defender,7,0,0,0,0,0,3,15,11,0.0,0.5555555555555556
aman kadian,Defender,1,0,0,0,0,0,1,12,4,0.0,0.7058823529411765
aman kadian,Defender,2,0,0,0,0,0,4,12,10,0.0,0.5217391304347826
aman kadian,Defender,3,0,0,0,0,0,8,10,5,0.0,0.625
aman kadian,Defender,4,0,0,0,0,0,1,11,5,0.0,0.6470588235294118
aman kadian,Defender,5,0,0,0,0,0,9,13,9,0.0,0.5652173913043478
aman kadian,Defender,6,0,0,0,0,0,6,7,4,0.0,0.5833333333333334
aman kadian,Defender,7,0,0,0,0,0,8,8,5,0.0,0.5714285714285714
aman kumar,Raider,1,0,3,8,7,6,0,0,0,0.5,0.0
aman kumar,Raider,2,0,2,15,6,2,0,0,0,0.6818181818181818,0.0
aman kumar,Raider,3,0,3,18,4,2,0,0,0,0.782608695652174,0.0
aman kumar,Raider,4,0,3,13,6,2,0,0,0,0.65,0.0
aman kumar,Raider,5,0,6,17,5,1,0,0,0,0.7391304347826086,0.0
aman kumar,Raider,6,0,3,15,7,5,0,0,0,0.6521739130434783,0.0
aman kumar,Raider,7,0,4,14,5,4,0,0,0,0.7,0.0
amit,All-Rounder,1,3,2,4,0,0,0,2,0,0.8,0.6666666666666666
amit,All-Rounder,2,4,2,3,0,0,0,9,0,0.75,0.9
amit,All-Rounder,3,4,3,2,0,0,0,12,0,0.6666666666666666,0.9230769230769231
amit,All-Rounder,4,7,4,11,0,0,0,10,0,0.9166666666666666,0.9090909090909091
amit,All-Rounder,5,7,6,5,0,0,0,5,0,0.8333333333333334,0.8333333333333334
amit,All-Rounder,6,6,7,10,0,0,0,8,0,0.9090909090909091,0.8888888888888888
amit,All-Rounder,7,6,3,12,0,0,0,3,0,0.9230769230769231,0.75
amit hooda,All-Rounder,1,5,4,6,0,0,0,8,0,0.8571428571428571,0.8888888888888888
amit hooda,All-Rounder,2,2,6,6,0,0,0,12,0,0.8571428571428571,0.9230769230769231
amit hooda,All-Rounder,3,3,5,9,0,0,0,9,0,0.9,0.9
amit hooda,All-Rounder,4,6,5,10,0,0,0,12,0,0.9090909090909091,0.9230769230769231
amit hooda,All-Rounder,5,8,4,6,0,0,0,7,0,0.8571428571428571,0.875
amit hooda,All-Rounder,6,5,5,7,0,0,0,9,0,0.875,0.9
amit hooda,All-Rounder,7,2,3,4,0,0,0,6,0,0.8,0.8571428571428571
amit kharb,All-Rounder,1,10,7,5,0,0,0,5,0,0.8333333333333334,0.8333333333333334
amit kharb,All-Rounder,2,6,2,10,0,0,0,7,0,0.9090909090909091,0.875
amit kharb,All-Rounder,3,5,6,4,0,0,0,6,0,0.8,0.8571428571428571
amit kharb,All-Rounder,4,6,5,7,0,0,0,5,0,0.875,0.8333333333333334
amit kharb,All-Rounder,5,6,4,7,0,0,0,5,0,0.875,0.8333333333333334
amit kharb,All-Rounder,6,4,8,11,0,0,0,3,0,0.9166666666666666,0.75
amit kharb,All-Rounder,7,6,4,4,0,0,0,9,0,0.8,0.9
amit kumar,All-Rounder,1,3,3,6,0,0,0,6,0,0.8571428571428571,0.8571428571428571
amit kumar,All-Rounder,2,6,4,7,0,0,0,8,0,0.875,0.8888888888888888
amit kumar,All-Rounder,3,3,6,8,0,0,0,7,0,0.8888888888888888,0.875
amit kumar,All-Rounder,4,7,5,7,0,0,0,7,0,0.875,0.875
amit kumar,All-Rounder,5,4,3,10,0,0,0,8,0,0.9090909090909091,0.8888888888888888
amit kumar,All-Rounder,6,4,1,5,0,0,0,5,0,0.8333333333333334,0.8333333333333334
amit kumar,All-Rounder,7,3,3,6,0,0,0,6,0,0.8571428571428571,0.8571428571428571
amit kumar tomar,Raider,1,0,0,9,7,1,0,0,0,0.5294117647058824,0.0
amit kumar tomar,Raider,2,0,3,16,3,1,0,0,0,0.8,0.0
amit kumar tomar,Raider,3,0,4,11,8,4,0,0,0,0.55,0.0
amit kumar tomar,Raider,4,0,1,10,7,0,0,0,0,0.5555555555555556,0.0
amit kumar tomar,Raider,5,0,1,19,4,3,0,0,0,0.7916666666666666,0.0
amit kumar tomar,Raider,6,0,1,15,6,0,0,0,0,0.6818181818181818,0.0
amit kumar tomar,Raider,7,0,3,12,10,2,0,0,0,0.5217391304347826,0.0
amit nagar,Defender,1,0,0,0,0,0,7,12,5,0.0,0.6666666666666666
amit nagar,Defender,2,0,0,0,0,0,6,13,6,0.0,0.65
amit nagar,Defender,3,0,0,0,0,0,8,10,7,0.0,0.5555555555555556
amit nagar,Defender,4,0,0,0,0,0,5,19,4,0.0,0.7916666666666666
amit nagar,Defender,5,0,0,0,0,0,3,26,11,0.0,0.6842105263157895
amit nagar,Defender,6,0,0,0,0,0,2,13,3,0.0,0.7647058823529411
amit nagar,Defender,7,0,0,0,0,0,7,9,7,0.0,0.5294117647058824
amit om prakash rathi,All-Rounder,1,2,3,5,0,0,0,8,0,0.8333333333333334,0.8888888888888888
amit om prakash rathi,All-Rounder,2,5,4,9,0,0,0,6,0,0.9,0.8571428571428571
amit om prakash rathi,All-Rounder,3,7,7,1,0,0,0,8,0,0.5,0.8888888888888888
amit om prakash rathi,All-Rounder,4,5,8,7,0,0,0,10,0,0.875,0.9090909090909091
amit om prakash rathi,All-Rounder,5,7,10,6,0,0,0,6,0,0.8571428571428571,0.8571428571428571
amit om prakash rathi,All-Rounder,6,8,8,11,0,0,0,8,0,0.9166666666666666,0.8888888888888888
amit om prakash rathi,All-Rounder,7,7,3,8,0,0,0,6,0,0.8888888888888888,0.8571428571428571
amit sheoran,Defender,1,0,0,0,0,0,7,11,7,0.0,0.5789473684210527
amit sheoran,Defender,2,0,0,0,0,0,4,17,11,0.0,0.5862068965517241
amit sheoran,Defender,3,0,0,0,0,0,5,14,3,0.0,0.7777777777777778
amit sheoran,Defender,4,0,0,0,0,0,6,19,2,0.0,0.8636363636363636
amit sheoran,Defender,5,0,0,0,0,0,6,12,11,0.0,0.5
amit sheoran,Defender,6,0,0,0,0,0,2,6,5,0.0,0.5
amit sheoran,Defender,7,0,0,0,0,0,8,10,10,0.0,0.47619047619047616
amit singh chhillar,Defender,1,0,0,0,0,0,4,17,10,0.0,0.6071428571428571
amit singh chhillar,Defender,2,0,0,0,0,0,5,18,5,0.0,0.75
amit singh chhillar,Defender,3,0,0,0,0,0,7,16,7,0.0,0.6666666666666666
amit singh chhillar,Defender,4,0,0,0,0,0,2,12,7,0.0,0.6
amit singh chhillar,Defender,5,0,0,0,0,0,5,10,8,0.0,0.5263157894736842
amit singh chhillar,Defender,6,0,0,0,0,0,5,14,8,0.0,0.6086956521739131
amit singh chhillar,Defender,7,0,0,0,0,0,5,15,6,0.0,0.6818181818181818
anand,Raider,1,0,3,24,7,1,0,0,0,0.75,0.0
anand,Raider,2,0,3,13,7,3,0,0,0,0.6190476190476191,0.0
anand,Raider,3,0,1,14,10,4,0,0,0,0.56,0.0
anand,Raider,4,0,4,10,7,3,0,0,0,0.5555555555555556,0.0
anand,Raider,5,0,3,18,4,7,0,0,0,0.782608695652174,0.0
anand,Raider,6,0,5,13,13,1,0,0,0,0.48148148148148145,0.0
anand,Raider,7,0,3,14,5,3,0,0,0,0.7,0.0
anand patil,All-Rounder,1,5,7,8,0,0,0,3,0,0.8888888888888888,0.75
anand patil,All-Rounder,2,6,4,3,0,0,0,9,0,0.75,0.9
anand patil,All-Rounder,3,4,6,4,0,0,0,7,0,0.8,0.875
anand patil,All-Rounder,4,4,6,10,0,0,0,3,0,0.9090909090909091,0.75
anand patil,All-Rounder,5,5,8,6,0,0,0,2,0,0.8571428571428571,0.6666666666666666
anand patil,All-Rounder,6,2,3,3,0,0,0,6,0,0.75,0.8571428571428571
anand patil,All-Rounder,7,3,3,9,0,0,0,7,0,0.9,0.875
anand surendra tomar,Defender,1,0,0,0,0,0,8,10,7,0.0,0.5555555555555556
anand surendra tomar,Defender,2,0,0,0,0,0,5,10,6,0.0,0.5882352941176471
anand surendra tomar,Defender,3,0,0,0,0,0,5,9,7,0.0,0.5294117647058824
anand surendra tomar,Defender,4,0,0,0,0,0,2,13,9,0.0,0.5652173913043478
anand surendra tomar,Defender,5,0,0,0,0,0,2,17,3,0.0,0.8095238095238095
anand surendra tomar,Defender,6,0,0,0,0,0,10,22,7,0.0,0.7333333333333333
anand surendra tomar,Defender,7,0,0,0,0,0,6,13,2,0.0,0.8125
anand v,Defender,1,0,0,0,0,0,4,8,4,0.0,0.6153846153846154
anand v,Defender,2,0,0,0,0,0,3,9,4,0.0,0.6428571428571429
anand v,Defender,3,0,0,0,0,0,8,22,9,0.0,0.6875
anand v,Defender,4,0,0,0,0,0,5,10,7,0.0,0.5555555555555556
anand v,Defender,5,0,0,0,0,0,7,18,7,0.0,0.6923076923076923
anand v,Defender,6,0,0,0,0,0,7,20,5,0.0,0.7692307692307693
anand v,Defender,7,0,0,0,0,0,6,14,7,0.0,0.6363636363636364
anil kashinath patil,Raider,1,0,0,12,8,2,0,0,0,0.5714285714285714,0.0
anil kashinath patil,Raider,2,0,4,11,8,3,0,0,0,0.55,0.0
anil kashinath patil,Raider,3,0,3,9,8,4,0,0,0,0.5,0.0
anil kashinath patil,Raider,4,0,5,15,5,1,0,0,0,0.7142857142857143,0.0
anil kashinath patil,Raider,5,0,2,17,11,4,0,0,0,0.5862068965517241,0.0
anil kashinath patil,Raider,6,0,1,10,6,2,0,0,0,0.5882352941176471,0.0
anil kashinath patil,Raider,7,0,5,15,6,2,0,0,0,0.6818181818181818,0.0
anil kumar,Defender,1,0,0,0,0,0,8,15,4,0.0,0.75
anil kumar,Defender,2,0,0,0,0,0,5,12,8,0.0,0.5714285714285714
anil kumar,Defender,3,0,0,0,0,0,3,14,8,0.0,0.6086956521739131
anil kumar,Defender,4,0,0,0,0,0,3,14,7,0.0,0.6363636363636364
anil kumar,Defender,5,0,0,0,0,0,4,15,8,0.0,0.625
anil kumar,Defender,6,0,0,0,0,0,3,8,6,0.0,0.5333333333333333
anil kumar,Defender,7,0,0,0,0,0,11,7,11,0.0,0.3684210526315789
anil shriram nimbolkar,Defender,1,0,0,0,0,0,6,16,8,0.0,0.64
anil shriram nimbolkar,Defender,2,0,0,0,0,0,4,4,10,0.0,0.26666666666666666
anil shriram nimbolkar,Defender,3,0,0,0,0,0,6,15,6,0.0,0.6818181818181818
anil shriram nimbolkar,Defender,4,0,0,0,0,0,3,13,10,0.0,0.5416666666666666
anil shriram nimbolkar,Defender,5,0,0,0,0,0,4,12,7,0.0,0.6
anil shriram nimbolkar,Defender,6,0,0,0,0,0,7,6,7,0.0,0.42857142857142855
anil shriram nimbolkar,Defender,7,0,0,0,0,0,4,14,2,0.0,0.8235294117647058
anil singh,Defender,1,0,0,0,0,0,6,12,8,0.0,0.5714285714285714
anil singh,Defender,2,0,0,0,0,0,3,14,7,0.0,0.6363636363636364
anil singh,Defender,3,0,0,0,0,0,2,14,4,0.0,0.7368421052631579
anil singh,Defender,4,0,0,0,0,0,5,13,5,0.0,0.6842105263157895
anil singh,Defender,5,0,0,0,0,0,8,17,11,0.0,0.5862068965517241
anil singh,Defender,6,0,0,0,0,0,8,12,7,0.0,0.6
anil singh,Defender,7,0,0,0,0,0,3,12,9,0.0,0.5454545454545454
ankit,Raider,1,0,0,16,3,1,0,0,0,0.8,0.0
ankit,Raider,2,0,7,8,7,2,0,0,0,0.5,0.0
ankit,Raider,3,0,2,9,9,3,0,0,0,0.47368421052631576,0.0
ankit,Raider,4,0,3,11,3,4,0,0,0,0.7333333333333333,0.0
ankit,Raider,5,0,3,15,7,3,0,0,0,0.6521739130434783,0.0
ankit,Raider,6,0,3,16,4,3,0,0,0,0.7619047619047619,0.0
ankit,Raider,7,0,0,12,7,2,0,0,0,0.6,0.0
ankit beniwal,All-Rounder,1,5,5,7,0,0,0,7,0,0.875,0.875
ankit beniwal,All-Rounder,2,9,7,4,0,0,0,2,0,0.8,0.6666666666666666
ankit beniwal,All-Rounder,3,5,5,6,0,0,0,5,0,0.8571428571428571,0.8333333333333334
ankit beniwal,All-Rounder,4,6,6,16,0,0,0,8,0,0.9411764705882353,0.8888888888888888
ankit beniwal,All-Rounder,5,2,11,12,0,0,0,11,0,0.9230769230769231,0.9166666666666666
ankit beniwal,All-Rounder,6,2,7,9,0,0,0,10,0,0.9,0.9090909090909091
ankit beniwal,All-Rounder,7,6,7,4,0,0,0,10,0,0.8,0.9090909090909091
ankush,Raider,1,0,2,19,10,0,0,0,0,0.6333333333333333,0.0
ankush,Raider,2,0,2,16,7,2,0,0,0,0.6666666666666666,0.0
ankush,Raider,3,0,4,10,7,2,0,0,0,0.5555555555555556,0.0
ankush,Raider,4,0,1,6,10,4,0,0,0,0.35294117647058826,0.0
ankush,Raider,5,0,4,12,7,1,0,0,0,0.6,0.0
ankush,Raider,6,0,1,13,4,1,0,0,0,0.7222222222222222,0.0
ankush,Raider,7,0,1,13,10,3,0,0,0,0.5416666666666666,0.0
anoop e.v.,Raider,1,0,2,10,9,2,0,0,0,0.5,0.0
anoop e.v.,Raider,2,0,1,10,5,0,0,0,0,0.625,0.0
anoop e.v.,Raider,3,0,7,13,5,3,0,0,0,0.6842105263157895,0.0
anoop e.v.,Raider,4,0,3,17,8,0,0,0,0,0.6538461538461539,0.0
anoop e.v.,Raider,5,0,3,10,10,2,0,0,0,0.47619047619047616,0.0
anoop e.v.,Raider,6,0,2,15,2,5,0,0,0,0.8333333333333334,0.0
anoop e.v.,Raider,7,0,4,9,5,2,0,0,0,0.6,0.0
anuj kumar,Defender,1,0,0,0,0,0,3,17,11,0.0,0.5862068965517241
anuj kumar,Defender,2,0,0,0,0,0,3,18,8,0.0,0.6666666666666666
anuj kumar,Defender,3,0,0,0,0,0,4,9,1,0.0,0.8181818181818182
anuj kumar,Defender,4,0,0,0,0,0,6,14,2,0.0,0.8235294117647058
anuj kumar,Defender,5,0,0,0,0,0,7,13,6,0.0,0.65
anuj kumar,Defender,6,0,0,0,0,0,6,14,4,0.0,0.7368421052631579
anuj kumar,Defender,7,0,0,0,0,0,5,9,8,0.0,0.5
anup kumar,All-Rounder,1,0,7,7,0,0,0,6,0,0.875,0.8571428571428571
anup kumar,All-Rounder,2,5,5,5,0,0,0,2,0,0.8333333333333334,0.6666666666666666
anup kumar,All-Rounder,3,3,6,12,0,0,0,7,0,0.9230769230769231,0.875
anup kumar,All-Rounder,4,5,5,6,0,0,0,2,0,0.8571428571428571,0.6666666666666666
anup kumar,All-Rounder,5,1,5,4,0,0,0,11,0,0.8,0.9166666666666666
anup kumar,All-Rounder,6,9,7,3,0,0,0,7,0,0.75,0.875
anup kumar,All-Rounder,7,3,6,7,0,0,0,6,0,0.875,0.8571428571428571
arjun deshwal,All-Rounder,1,3,3,8,0,0,0,14,0,0.8888888888888888,0.9333333333333333
arjun deshwal,All-Rounder,2,5,5,6,0,0,0,6,0,0.8571428571428571,0.8571428571428571
arjun deshwal,All-Rounder,3,9,10,10,0,0,0,9,0,0.9090909090909091,0.9
arjun deshwal,All-Rounder,4,7,2,7,0,0,0,6,0,0.875,0.8571428571428571
arjun deshwal,All-Rounder,5,2,1,8,0,0,0,4,0,0.8888888888888888,0.8
arjun deshwal,All-Rounder,6,6,5,11,0,0,0,6,0,0.9166666666666666,0.8571428571428571
arjun deshwal,All-Rounder,7,2,4,7,0,0,0,6,0,0.875,0.8571428571428571
armaan,Defender,1,0,0,0,0,0,6,14,7,0.0,0.6363636363636364
armaan,Defender,2,0,0,0,0,0,4,16,7,0.0,0.6666666666666666
armaan,Defender,3,0,0,0,0,0,5,7,5,0.0,0.5384615384615384
armaan,Defender,4,0,0,0,0,0,6,10,13,0.0,0.4166666666666667
armaan,Defender,5,0,0,0,0,0,3,17,9,0.0,0.6296296296296297
armaan,Defender,6,0,0,0,0,0,5,15,8,0.0,0.625
armaan,Defender,7,0,0,0,0,0,3,15,7,0.0,0.6521739130434783
arun kumar hn,Raider,1,0,4,10,9,2,0,0,0,0.5,0.0
arun kumar hn,Raider,2,0,2,11,9,3,0,0,0,0.5238095238095238,0.0
arun kumar hn,Raider,3,0,3,11,10,5,0,0,0,0.5,0.0
arun kumar hn,Raider,4,0,2,12,4,2,0,0,0,0.7058823529411765,0.0
arun kumar hn,Raider,5,0,2,14,6,2,0,0,0,0.6666666666666666,0.0
arun kumar hn,Raider,6,0,2,16,9,2,0,0,0,0.6153846153846154,0.0
arun kumar hn,Raider,7,0,1,13,12,0,0,0,0,0.5,0.0
ashish,Defender,1,0,0,0,0,0,5,3,10,0.0,0.21428571428571427
ashish,Defender,2,0,0,0,0,0,7,8,7,0.0,0.5
ashish,Defender,3,0,0,0,0,0,4,8,7,0.0,0.5
ashish,Defender,4,0,0,0,0,0,4,15,9,0.0,0.6
ashish,Defender,5,0,0,0,0,0,4,13,9,0.0,0.5652173913043478
ashish,Defender,6,0,0,0,0,0,3,14,4,0.0,0.7368421052631579
ashish,Defender,7,0,0,0,0,0,5,8,9,0.0,0.4444444444444444
ashish chhokar,Defender,1,0,0,0,0,0,5,15,8,0.0,0.625
ashish chhokar,Defender,2,0,0,0,0,0,4,16,5,0.0,0.7272727272727273
ashish chhokar,Defender,3,0,0,0,0,0,5,11,7,0.0,0.5789473684210527
ashish chhokar,Defender,4,0,0,0,0,0,6,16,5,0.0,0.7272727272727273
ashish chhokar,Defender,5,0,0,0,0,0,3,11,10,0.0,0.5
